yr,age,reproduction,mass_jun,mass_sept,sex_lamb,mass_gain,density,temp,precipitation
83,3,1,44.78,59.93,1,15.14,38,10.75,238.9
89,3,0,38.78,54.46,1,15.68,72,12.05,260.1
85,12,NA,58.79,73.93,1,15.13,51,11.07,322.9
107,8,1,62.28,76.66,1,14.38,16,NA,NA
87,5,0,55.98,68.94,1,12.96,61,11.67,283.9
84,6,0,54.29,77.52,1,23.23,47,11.33,206.2
80,2,1,50.16,65.54,1,15.38,33,10.85,168.9
85,3,1,49.27,64.50,1,15.24,51,11.07,322.9
90,4,0,52.50,67.57,1,15.06,83,11.9,345.2
91,9,1,57.48,76.50,1,19.02,97,11.77,316.6
108,6,1,48.34,71.63,1,23.29,22,NA,NA
108,13,1,55.97,83.18,1,27.21,22,NA,NA
80,2,1,46.70,65.73,1,19.03,33,10.85,168.9
100,12,0,49.72,72.95,1,23.23,37,11.6,242.2
108,9,0,61.29,82.50,1,21.22,22,NA,NA
94,9,0,59.22,73.65,1,14.44,90,11.67,264.7
104,7,0,50.08,67.98,1,17.90,18,12.63,363.9
83,5,1,60.66,75.22,1,14.56,38,10.75,238.9
85,3,1,59.21,70.42,1,11.21,51,11.07,322.9
93,15,0,58.52,70.46,1,11.94,97,10.65,219.1
95,5,1,54.30,70.91,1,16.61,79,10.77,463.1
79,4,1,58.37,78.13,1,19.76,34,12.27,145.1
106,4,1,50.44,64.89,1,14.45,17,NA,NA
106,6,1,68.97,77.73,1,8.76,17,NA,NA
106,8,0,57.02,69.74,1,12.72,17,NA,NA
95,4,1,49.47,64.54,1,15.08,79,10.77,463.1
96,7,0,52.30,69.66,1,17.36,73,11.67,116.2
94,6,0,55.99,70.74,1,14.74,90,11.67,264.7
85,6,NA,61.84,75.65,1,13.81,51,11.07,322.9
85,5,NA,50.60,66.01,1,15.41,51,11.07,322.9
85,4,1,52.96,60.66,1,7.71,51,11.07,322.9
87,6,1,64.63,77.59,1,12.96,61,11.67,283.9
91,13,0,52.93,69.80,1,16.87,97,11.77,316.6
85,5,1,53.84,69.38,1,15.54,51,11.07,322.9
81,3,1,53.00,70.17,1,17.17,31,12.1,442.8
85,3,1,53.35,66.72,1,13.37,51,11.07,322.9
107,12,1,59.34,73.14,1,13.79,16,NA,NA
85,3,1,50.54,62.65,1,12.11,51,11.07,322.9
83,8,1,70.77,82.85,1,12.08,38,10.75,238.9
85,7,1,61.44,76.48,1,15.04,51,11.07,322.9
107,12,1,55.07,68.02,1,12.94,16,NA,NA
95,13,0,62.26,77.96,1,15.70,79,10.77,463.1
91,11,0,56.18,70.78,1,14.60,97,11.77,316.6
93,4,0,49.62,60.85,1,11.24,97,10.65,219.1
76,12,1,56.32,70.06,1,13.74,30,11.33,239.7
88,8,1,66.07,73.77,1,7.70,65,11.93,245.7
88,4,1,54.91,66.93,1,12.02,65,11.93,245.7
89,7,1,58.09,73.38,1,15.29,72,12.05,260.1
88,10,1,60.98,71.14,1,10.16,65,11.93,245.7
86,11,1,57.53,71.34,1,13.81,58,12.1,410.4
100,5,1,52.84,69.17,1,16.33,37,11.6,242.2
78,5,1,43.98,57.59,1,13.61,33,12.07,308.8
86,6,1,55.25,69.34,1,14.08,58,12.1,410.4
101,6,0,55.71,69.65,1,13.94,32,12.17,165.7
82,5,1,55.29,72.22,1,16.94,36,11.07,413
91,3,0,40.92,56.54,1,15.62,97,11.77,316.6
98,14,0,63.82,76.43,1,12.61,54,13.2,327.3
108,5,1,51.36,78.92,1,27.56,22,NA,NA
102,11,1,47.48,65.57,1,18.09,21,12.23,185.8
95,7,1,52.63,69.21,1,16.59,79,10.77,463.1
87,5,1,58.14,71.10,1,12.96,61,11.67,283.9
95,6,0,60.92,77.58,1,16.66,79,10.77,463.1
87,12,1,75.40,88.36,1,12.96,61,11.67,283.9
89,7,1,55.08,72.55,1,17.48,72,12.05,260.1
87,8,1,58.66,71.62,1,12.96,61,11.67,283.9
104,9,1,58.53,76.60,1,18.08,18,12.63,363.9
102,14,0,49.66,67.43,1,17.76,21,12.23,185.8
106,9,1,54.55,71.86,1,17.32,17,NA,NA
96,14,1,54.29,76.48,1,22.19,73,11.67,116.2
75,7,0,58.91,75.48,1,16.57,33,11.2,138.4
88,2,0,44.75,54.05,1,9.31,65,11.93,245.7
83,4,1,51.40,62.04,1,10.64,38,10.75,238.9
88,3,1,51.18,63.58,1,12.40,65,11.93,245.7
88,5,1,59.94,71.68,1,11.74,65,11.93,245.7
101,10,0,55.83,70.72,1,14.89,32,12.17,165.7
87,5,1,64.73,77.69,1,12.96,61,11.67,283.9
78,2,1,42.60,55.94,1,13.34,33,12.07,308.8
82,3,1,43.33,60.27,1,16.94,36,11.07,413
101,7,0,44.62,59.22,1,14.61,32,12.17,165.7
88,3,1,45.24,56.50,1,11.26,65,11.93,245.7
88,7,1,65.25,73.42,1,8.17,65,11.93,245.7
91,12,0,58.27,72.99,1,14.72,97,11.77,316.6
88,4,1,61.76,66.36,1,4.59,65,11.93,245.7
95,10,1,60.25,68.47,1,8.22,79,10.77,463.1
95,4,1,44.53,58.03,1,13.50,79,10.77,463.1
88,4,1,58.39,68.18,1,9.79,65,11.93,245.7
88,4,1,59.28,69.00,1,9.72,65,11.93,245.7
101,10,0,51.83,64.92,1,13.08,32,12.17,165.7
78,3,1,52.41,67.65,1,15.24,33,12.07,308.8
88,10,1,59.57,69.89,1,10.32,65,11.93,245.7
88,2,1,45.72,54.57,1,8.85,65,11.93,245.7
101,12,0,61.56,74.76,1,13.20,32,12.17,165.7
77,4,0,44.94,76.27,1,31.33,30,10.97,278
79,3,1,46.61,59.39,1,12.78,34,12.27,145.1
87,4,1,62.24,75.20,1,12.96,61,11.67,283.9
93,7,1,60.72,72.23,1,11.51,97,10.65,219.1
79,3,1,50.35,64.31,1,13.96,34,12.27,145.1
93,8,0,57.40,69.73,1,12.34,97,10.65,219.1
101,5,0,56.81,70.76,1,13.95,32,12.17,165.7
103,14,1,53.26,69.75,1,16.49,20,13.03,159.6
87,5,1,54.40,67.36,1,12.96,61,11.67,283.9
79,3,1,45.55,59.74,1,14.19,34,12.27,145.1
87,9,1,65.74,78.70,1,12.96,61,11.67,283.9
102,3,0,38.90,56.54,1,17.63,21,12.23,185.8
92,6,0,64.62,77.75,1,13.13,103,11.23,183.7
93,5,0,51.87,63.41,1,11.54,97,10.65,219.1
85,7,1,63.39,78.97,1,15.58,51,11.07,322.9
88,9,1,62.51,74.43,1,11.92,65,11.93,245.7
94,9,1,59.16,73.01,1,13.85,90,11.67,264.7
