yr,age,reproduction,mass_jun,mass_sept,sex_lamb,mass_gain,density,temp,precipitation
90,8,1,61.87,76.93,0,15.06,83,11.9,345.2
82,4,1,46.23,63.17,0,16.94,36,11.07,413
87,8,1,63.85,76.81,0,12.96,61,11.67,283.9
97,11,0,53.66,69.54,0,15.88,75,12.07,230.6
95,11,0,61.99,80.60,0,18.61,79,10.77,463.1
100,10,1,49.11,64.22,0,15.10,37,11.6,242.2
93,4,0,53.29,65.74,0,12.46,97,10.65,219.1
96,9,0,60.78,82.12,0,21.34,73,11.67,116.2
90,6,1,53.82,68.89,0,15.06,83,11.9,345.2
96,5,0,60.04,75.74,0,15.71,73,11.67,116.2
96,7,0,47.52,70.16,0,22.65,73,11.67,116.2
96,10,0,57.22,77.52,0,20.30,73,11.67,116.2
92,11,0,62.78,75.47,0,12.69,103,11.23,183.7
88,7,1,63.59,67.18,0,3.59,65,11.93,245.7
90,6,1,53.12,68.18,0,15.06,83,11.9,345.2
93,6,1,60.26,71.91,0,11.64,97,10.65,219.1
97,9,1,57.96,72.92,0,14.96,75,12.07,230.6
92,4,0,51.64,65.73,0,14.09,103,11.23,183.7
97,9,0,56.13,70.51,0,14.37,75,12.07,230.6
96,6,0,40.78,60.69,0,19.91,73,11.67,116.2
96,8,0,50.90,72.15,0,21.25,73,11.67,116.2
